School,Program,Date_Added,Decision_Detail,Season,Status,GPA,GRE,Comment
University of Toronto,Information,"March 22, 2026",Wait listed on 21 Mar,Fall 2026,International,,,Domestic. Waitlisted for UXD and ISD! Fingers crossed I get in
University of Toronto,Information,"March 21, 2026",Wait listed on 21 Mar,Fall 2026,International,,,"Waitlist for ISD! Domestic. I emailed admissions to inquire, then got an email confirming that I was waitlisted."
University of Toronto OISE,Counseling Psychology,"March 21, 2026",Rejected on 20 Mar,Fall 2026,International,,,
University of Toronto,Information,"March 21, 2026",Wait listed on 21 Mar,Fall 2026,International,,,"Domestic, undergrad from UofT. Waitlisted by email."
University of Toronto,Physics,"March 21, 2026",Rejected on 20 Mar,Fall 2026,International,3.77,,Email to check portal
University of Toronto,Quality improvement and patient safety,"March 20, 2026",Accepted on 20 Mar,Fall 2026,International,3.3,,
University of Toronto,Counseling Psychology,"March 20, 2026",Rejected on 20 Mar,Fall 2026,International,3.9,,"Quebec applicant; I have a bachelor's in psychology and anthropology from McGill; And around 2 years of experience in psychosocial intervention. 
This was my second attempt at Toronto. I got accepted to the French program at UOttawa. 
Good luck everyone!"
University of Toronto,Social Work,"March 20, 2026",Accepted on 20 Mar,Fall 2026,International,3.7,,Undergraduate study in philosophy and psychology. Mature student with professional experience but not in social work.
University of Toronto,Counselling and Clinical Psychology,"March 20, 2026",Rejected on 16 Mar,Fall 2026,International,,,
University of Toronto,Biostatistics,"March 20, 2026",Accepted on 18 Mar,Fall 2026,International,3.7,,
University of Toronto,Physics,"March 20, 2026",Rejected on 20 Mar,Fall 2026,International,3.74,,"International applicant, but did undergrad at UofT. 3.9 GPA in the last two years, 4 undergrad research experiences."
University of Toronto,Physics,"March 20, 2026",Rejected on 20 Mar,Fall 2026,International,3.7,,Status Update Email
University of Toronto,Information,"March 20, 2026",Accepted on 18 Mar,Fall 2026,International,3.8,,ISD Concentration
University of Toronto,Health Informatics,"March 20, 2026",Accepted on 19 Mar,Spring 2026,International,,,Accepted to the EMHI program!
University of Toronto,Architecture,"March 20, 2026",Accepted on 18 Mar,Fall 2026,International,3.66,,
University of Toronto,Museum Studies,"March 20, 2026",Wait listed on 19 Mar,Fall 2026,International,,,Domestic. Emailed for updated and I’m waitlisted
University of Toronto,Information,"March 19, 2026",Wait listed on 19 Mar,Fall 2026,International,,,Domestic student. Emailed the admissions and got a reply back saying that my application for MI (ISD) has been waitlisted.
University of Toronto,Library And Information Science,"March 19, 2026",Accepted on 16 Mar,Fall 2026,International,3.5,,domestic student. simply got an email that said an update has been made regarding my application status lol. thought it was a rejection :D
University of Toronto,Information Studies,"March 19, 2026",Accepted on 18 Mar,Fall 2026,International,3.5,,
University of Toronto,Planning,"March 19, 2026",Rejected on 19 Mar,Fall 2026,International,,,domestic
University of Toronto,Information Science,"March 19, 2026",Accepted on 19 Mar,Fall 2026,International,,,"Canadian applicant, ARM concentration."
University of Toronto,Archives and Records Management,"March 19, 2026",Accepted on 19 Mar,Fall 2026,International,,,
University of Toronto,Civil Engineering,"March 19, 2026",Accepted on 20 Feb,Fall 2026,International,3.5,,
