School,Program,Date_Added,Decision_Detail,Season,Status,GPA,GRE,Comment
Kutztown University of Pennsylvania,Higher Education and Student Affairs,"March 23, 2026",Accepted on 3 Dec,Fall 2026,American,3.7,,"Admitted, but declined due to GA offer at another institution"
University of Pennsylvania,Computer Science,"March 22, 2026",Wait listed on 16 Jan,Fall 2026,International,,,
University of Pennsylvania,Computer Science,"March 19, 2026",Accepted on 19 Mar,Fall 2026,International,3.81,,
University of Pennsylvania,Data Science,"March 19, 2026",Accepted on 19 Mar,Fall 2026,American,3.97,,
University of Pennsylvania,Mechanical Engineering,"March 18, 2026",Accepted on 11 Mar,Fall 2026,International,,,
University of Pennsylvania,Urban Spatial Analytics,"March 17, 2026",Accepted on 5 Mar,Fall 2026,American,3.58,,
University of Pennsylvania,Environmental Studies,"March 17, 2026",Accepted on 22 Jan,Fall 2026,American,3.58,,
University of Pennsylvania,Social Work,"March 16, 2026",Accepted on 16 Mar,Fall 2026,American,3.2,,
University of Pennsylvania,Mechanical Engineering and Applied Mechanics,"March 14, 2026",Accepted on 11 Mar,Fall 2026,International,3.4,,
University of Pennsylvania,Robotics,"March 14, 2026",Accepted on 26 Feb,Fall 2026,International,,,
University of Pennsylvania,Mechanical Engineering,"March 13, 2026",Accepted on 11 Mar,Fall 2026,International,3.35,,
University of Pennsylvania,International Education,"March 11, 2026",Accepted on 10 Mar,Fall 2026,International,3.7,,10.000 Scholarship
University of Pennsylvania,History of Art,"March 11, 2026",Accepted on 11 Mar,Fall 2026,American,,,
University of Pennsylvania,Art History,"March 11, 2026",Rejected on 11 Mar,Fall 2026,International,,,
University of Pennsylvania,Art History,"March 11, 2026",Accepted on 11 Mar,Fall 2026,International,3.75,,
University of Pennsylvania,Robotics,"March 10, 2026",Accepted on 25 Feb,Fall 2026,American,3.96,,
University of Pennsylvania,Education Policy,"March 09, 2026",Accepted on 6 Mar,Fall 2026,American,4.12,,
University of Pennsylvania,Cinema & Media Studies,"March 09, 2026",Rejected on 9 Mar,Fall 2026,American,,,Rejection after interview.
University of Pennsylvania,Professional Counseling,"March 07, 2026",Accepted on 6 Mar,Fall 2026,International,,,
University of Pennsylvania,Education Policy,"March 07, 2026",Accepted on 6 Mar,Fall 2026,International,3.61,,IT MADE ME SO HAPPY!!😭 my gpa made me a little doubtful at first but I did it so happy!! Wish u all luck!
University of Pennsylvania,Education Policy,"March 07, 2026",Accepted on 6 Mar,Fall 2026,American,4.0,,
University of Pennsylvania,Literacy Studies,"March 06, 2026",Accepted on 6 Mar,Fall 2026,American,3.91,,email to check portal
University of Pennsylvania,Learning Sciences and Technologies M.S.Ed.,"March 06, 2026",Accepted on 6 Mar,Fall 2026,International,3.97,,
University of Pennsylvania,Education Policy,"March 06, 2026",Accepted on 6 Mar,Spring 2026,American,3.85,,"10,000$ merit scholarship + 25,000$ fi aid"
University of Pennsylvania,City Planning,"March 06, 2026",Accepted on 5 Mar,Fall 2026,American,3.75,,Got an email to check portal. 35K merit scholarship per year
University of Pennsylvania,Art History,"March 06, 2026",Interview on 3 Mar,Fall 2026,International,,,
University of Pennsylvania,Public Administration,"March 06, 2026",Wait listed on 26 Feb,Fall 2026,International,3.82,,
University of Pennsylvania,Education Policy,"March 06, 2026",Accepted on 6 Mar,Fall 2026,American,,,
University of Pennsylvania,Professional Counseling,"March 06, 2026",Accepted on 6 Mar,Fall 2026,American,3.67,,No email but I checked the portal and found the update at 5pm EST. Congratulations and good luck to everyone!
University of Pennsylvania,Criminology,"March 06, 2026",Accepted on 26 Jan,Fall 2026,American,3.6,,Did a ton of undergraduate research and have publications
University of Pennsylvania,Landscape Architecture,"March 06, 2026",Rejected on 5 Mar,Fall 2026,American,,,
University of Pennsylvania,Architecture,"March 05, 2026",Rejected on 5 Mar,Fall 2026,American,,,
University of Pennsylvania,Art and Archaeology,"March 05, 2026",Rejected on 5 Mar,Fall 2026,American,,,
University of Pennsylvania,City Planning,"March 05, 2026",Accepted on 5 Mar,Fall 2026,International,3.70,,No GRE & no scholarship :(
University of Pennsylvania,Architecture,"March 05, 2026",Accepted on 5 Mar,Fall 2026,International,3.7,,"international applicant, no scholarship :("
University of Pennsylvania,City Planning,"March 05, 2026",Rejected on 5 Mar,Fall 2026,American,3.05,,another reach. not terribly surprised.
University of Pennsylvania,Architecture,"March 05, 2026",Accepted on 5 Mar,Fall 2026,American,3.8,,Merit Scholarship
University of Pennsylvania,Urban Spatial Analysis,"March 05, 2026",Accepted on 5 Mar,Fall 2026,International,3.9,,
University of Pennsylvania,Architecture,"March 05, 2026",Rejected on 5 Mar,Fall 2026,International,,,
University of Pennsylvania,City Planning,"March 05, 2026",Accepted on 5 Mar,Fall 2026,American,3.65,,"Straight out of undergrad, lots of extracurriculars, didn't do the interview. No scholarship though so will probably have to decline."
University of Pennsylvania,Architecture,"March 05, 2026",Accepted on 5 Mar,Fall 2026,American,3.72,,$20k annual scholarship
University of Pennsylvania,Landscape Architecture,"March 05, 2026",Accepted on 5 Mar,Fall 2026,American,3.60,,
University of Pennsylvania,Architecture,"March 05, 2026",Accepted on 5 Mar,Fall 2026,American,,,
University of Pennsylvania,Master of City Planning,"March 05, 2026",Accepted on 5 Mar,Fall 2026,American,3.86,,30k/year merit
University of Pennsylvania,Architecture,"March 05, 2026",Accepted on 5 Mar,Fall 2026,International,,,admitted with scholarship
University of Pennsylvania,City Planning,"March 05, 2026",Accepted on 5 Mar,Fall 2026,American,3.79,,"applied for a dual MCP/MUSA degree and got accepted to both - 32k scholarship for MCP, 8k for MUSA"
university of pennsylvania,Architecture,"March 05, 2026",Accepted on 5 Mar,Fall 2026,International,,,
University of Pennsylvania,Architecture,"March 05, 2026",Rejected on 5 Mar,Fall 2026,American,,,in application portal
University of Pennsylvania,City Planning,"March 05, 2026",Accepted on 5 Mar,Fall 2026,American,4.0,,30k annual scholarship!! unfortunately can't go unless I do some serious pleading
University of Pennsylvania,Architecture,"March 05, 2026",Rejected on 5 Mar,Fall 2026,American,3.94,GRE 155 | GRE V 158 | GRE AW 4.00,"generic rejection letter was nice, but still very dissapointing 4a/0w/4r/2p"
University of Pennsylvania,Social Work,"March 04, 2026",Accepted on 23 Jan,Fall 2026,American,,,
University of Pennsylvania,Social Policy,"March 04, 2026",Accepted on 28 Jan,Fall 2025,American,3.60,,
University of Pennsylvania,Energy and Sustainability Engineering,"March 03, 2026",Accepted on 3 Mar,Fall 2026,American,3.5,,
University of Pennsylvania,Mechanical Engineering,"February 28, 2026",Accepted on 25 Feb,Fall 2026,American,,,
University of Pennsylvania,Medical Physics,"February 27, 2026",Rejected on 26 Feb,Fall 2026,American,3.25,,
University of Pennsylvania,Art and Archaeology,"February 27, 2026",Accepted on 27 Feb,Fall 2026,American,4.0,,
University of Pennsylvania,Medical Physics,"February 26, 2026",Accepted on 26 Feb,Fall 2026,American,3.81,,
University of Pennsylvania,Medical Physics,"February 26, 2026",Interview on 26 Feb,Fall 2026,American,3.78,,
University of Pennsylvania,Medical Physics,"February 26, 2026",Wait listed on 26 Feb,Fall 2026,American,3.6,,I think my interview could have gone better. Got stumped at one of the questions
University of pennsylvania,Electrical Engineering,"February 25, 2026",Accepted on 25 Feb,Fall 2026,American,3.8,,
University of Pennsylvania,Electrical Engineering,"February 25, 2026",Accepted on 25 Feb,Fall 2026,International,4.00,,
University of Pennsylvania,Public Administration,"February 25, 2026",Accepted on 25 Feb,Fall 2026,American,3.78,,
University of Pennsylvania,English,"February 24, 2026",Accepted on 9 Feb,Fall 2026,American,3.92,,"Exciting but not funded. Applied PhD, accepted for MA."
university of pennsylvania,Data Science,"February 20, 2026",Wait listed on 15 Jan,Fall 2026,American,3.9,,No GRE. Early application. Non-STEM major in undergrad.
University of Pennsylvania,Mechanical Engineering,"February 19, 2026",Accepted on 18 Feb,Fall 2026,International,3.85,,
University of Pennsylvania (UPenn),Robotics,"February 19, 2026",Accepted on 11 Feb,Fall 2026,American,3.68,GRE 167 | GRE V 161 | GRE AW 4.5,"There was a problem with my transcript so I had to resend it, then the next day I got the acceptance!"
University of Pennsylvania,Mechanical Engineering,"February 18, 2026",Accepted on 18 Feb,Fall 2026,International,3.45,,
University of Pennsylvania,English,"February 18, 2026",Interview on 18 Feb,Fall 2026,International,,,"Please ignore the interview. Has anyone who is an international student heard from the department? I wonder if, in terms of order, they deal with the applications according to regions. Anxiously waiting for the results and fingers crossed."
