Program,Term,Applied,Admitted,Admission Rate (%),Source Link
Data Science (MSE-DS),Recent Cycle,1550,206,13.29%,"<a href=""https://www.petersons.com/graduate-schools/university-of-pennsylvania-school-of-engineering-and-applied-science-program-in-data-science-program-in-data-science-000_10068596.aspx"" target=""_blank"">Peterson's Data Science</a>"
SEAS Graduate Overall (Master's & PhD),Recent Cycle,11791,2909,24.67%,"<a href=""https://www.petersons.com/graduate-schools/university-of-pennsylvania-school-of-engineering-and-applied-science-000_10013854.aspx"" target=""_blank"">Peterson's SEAS Overall</a>"
Weitzman School of Design (Grad Overall),Recent Cycle,1919,897,46.74%,"<a href=""https://www.petersons.com/graduate-schools/university-of-pennsylvania-school-of-design-000_10052515.aspx"" target=""_blank"">Peterson's Design Overall</a>"
Graduate School of Education (Overall),Recent Cycle,3436,1779,51.78%,"<a href=""https://www.petersons.com/graduate-schools/university-of-pennsylvania-graduate-school-of-education-000_10013709.aspx"" target=""_blank"">Peterson's GSE Overall</a>"
Robotics (ROBO) MSE,Fall 2025,626,227,36.26%,"<a href=""https://www.grasp.upenn.edu/academics/admission-stats/"" target=""_blank"">GRASP Admissions Stats</a>"
Robotics (ROBO) MSE,Fall 2024,729,171,23.46%,"<a href=""https://www.grasp.upenn.edu/academics/admission-stats/"" target=""_blank"">GRASP Admissions Stats</a>"
Robotics (ROBO) MSE,Fall 2023,644,156,24.22%,"<a href=""https://www.grasp.upenn.edu/academics/admission-stats/"" target=""_blank"">GRASP Admissions Stats</a>"
Robotics (ROBO) MSE,Fall 2022,734,126,17.17%,"<a href=""https://www.grasp.upenn.edu/academics/admission-stats/"" target=""_blank"">GRASP Admissions Stats</a>"
Robotics (ROBO) MSE,Fall 2021,542,100,18.45%,"<a href=""https://www.grasp.upenn.edu/academics/admission-stats/"" target=""_blank"">GRASP Admissions Stats</a>"
Robotics (ROBO) MSE,Fall 2020,614,108,17.59%,"<a href=""https://www.grasp.upenn.edu/academics/admission-stats/"" target=""_blank"">GRASP Admissions Stats</a>"
Robotics (ROBO) MSE,Fall 2019,600,96,16.0%,"<a href=""https://www.grasp.upenn.edu/academics/admission-stats/"" target=""_blank"">GRASP Admissions Stats</a>"
Robotics (ROBO) MSE,Fall 2018,543,75,13.81%,"<a href=""https://www.grasp.upenn.edu/academics/admission-stats/"" target=""_blank"">GRASP Admissions Stats</a>"
Robotics (ROBO) MSE,Fall 2017,423,61,14.42%,"<a href=""https://www.grasp.upenn.edu/academics/admission-stats/"" target=""_blank"">GRASP Admissions Stats</a>"
Robotics (ROBO) MSE,Fall 2016,345,53,15.36%,"<a href=""https://www.grasp.upenn.edu/academics/admission-stats/"" target=""_blank"">GRASP Admissions Stats</a>"
Robotics (ROBO) MSE,Fall 2015,327,54,16.51%,"<a href=""https://www.grasp.upenn.edu/academics/admission-stats/"" target=""_blank"">GRASP Admissions Stats</a>"
CIS/MSE,Fall 2022,1974,172,8.71%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
CIS/MSE,Fall 2021,1782,204,11.45%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
CIS/MSE,Fall 2020,1538,192,12.48%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
CIS/MSE,Fall 2019,1299,169,13.01%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
CIS/MSE,Fall 2018,1339,138,10.31%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
CIS/MSE,Fall 2017,1264,130,10.28%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
CIS/MSE,Fall 2016,1021,131,12.83%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
CIS/MSE,Fall 2015,954,117,12.26%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
MCIT,Fall 2022,1225,118,9.63%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
MCIT,Fall 2021,1064,117,11.0%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
MCIT,Fall 2020,674,97,14.39%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
MCIT,Fall 2019,552,78,14.13%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
MCIT,Fall 2018,714,73,10.22%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
MCIT,Fall 2017,619,69,11.15%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
MCIT,Fall 2016,526,75,14.26%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
MCIT,Fall 2015,445,68,15.28%,"<a href=""https://www.cis.upenn.edu/graduate/admission-statistics/"" target=""_blank"">CIS Admissions Stats</a>"
